category,api_title,api_description,route,Type,Authentication_Type
return,Reject RMA,Reject return,api/returns/{id}/reject,post,Employee
return,Receive Items,Mark returned items received,api/returns/{id}/receive,post,Employee
return,Restock Items,Return items to inventory,api/returns/{id}/restock,post,Employee
return,Create Exchange,Create exchange order,api/returns/{id}/exchange,post,Employee
return,Close RMA,Close return request,api/returns/{id}/close,post,Employee
refund,Create Refund,Refund full/partial,api/refunds,post,Employee
refund,List Refunds,List refunds,api/refunds,get,Admin
refund,Get Refund,Refund details,api/refunds/{id},get,Admin
refund,Cancel Refund,Cancel pending refund,api/refunds/{id}/cancel,post,Admin
transaction,Create Transaction,Record movement/financial entry,api/transactions,post,Employee
transaction,List Transactions,Filter by type/date/store,api/transactions,get,Employee
transaction,Get Transaction,Transaction details,api/transactions/{id},get,Employee
transaction,Reverse Transaction,Create reversal entry,api/transactions/{id}/reverse,post,Admin
transaction,Export Journal,Export accounting journal,api/transactions/export,get,Admin
transaction,Reconcile Period,Lock & reconcile period,api/transactions/reconcile,post,Admin
sales,List Sales,Sales entries joined to txns,api/sales,get,Employee
sales,Sales By User,Sales by salesperson,api/sales/by-user,get,Admin
sales,Sales By Store,Sales grouped by store,api/sales/by-store,get,Admin
sales,Sales By Product,Sales grouped by product,api/sales/by-product,get,Admin
purchase,List Purchase-Orders,Paginated purchase-orders,api/purchase-orders,get,Admin
purchase,Create Purchase-Order,Create purchase-order,api/purchase-orders,post,Admin
purchase,Get Purchase-Order,Get by id,api/purchase-orders/{id},get,Admin
purchase,Update Purchase-Order,Update by id,api/purchase-orders/{id},put,Admin
purchase,Delete Purchase-Order,Delete by id,api/purchase-orders/{id},delete,Admin
purchase,Receive Purchase,Receive PO to batch,api/purchase-orders/{id}/receive,post,Admin
purchase,Cancel Purchase,Cancel PO,api/purchase-orders/{id}/cancel,post,Admin
service,List Services,Paginated services,api/services,get,Employee
service,Create Service,Create service,api/services,post,Admin
service,Get Service,Get by id,api/services/{id},get,Employee
service,Update Service,Update by id,api/services/{id},put,Admin
service,Delete Service,Delete by id,api/services/{id},delete,Admin
service-order,Create Service Order,Create intake,api/service-orders,post,Employee
service-order,List Service Orders,Filter by status/date,api/service-orders,get,Employee
service-order,Get Service Order,Service order details,api/service-orders/{id},get,Employee
service-order,Update Service Order,Update fields/status,api/service-orders/{id},put,Employee
service-order,Cancel Service Order,Cancel service job,api/service-orders/{id}/cancel,post,Employee
service-order,Add Service Note,Add internal note,api/service-orders/{id}/notes,post,Employee
service-order,Complete Service,Mark as completed,api/service-orders/{id}/complete,post,Employee
service-order,Deliver Service,Mark as delivered,api/service-orders/{id}/deliver,post,Employee
log,List Logs,System/user action logs,api/logs,get,Admin
log,Get Log,Get single log entry,api/logs/{id},get,Admin
audit,Audit Trail,Entity-level change history,api/audit/{entity}/{id},get,Admin
audit,Export Audit,Export audit events,api/audit/export,get,Admin
report,Sales Summary,Sales Summary,api/reports/sales-summary,get,Admin
report,Revenue by Day,Revenue by Day,api/reports/revenue-by-day,get,Admin
report,Revenue by Store,Revenue by Store,api/reports/revenue-by-store,get,Admin
report,Revenue by Product,Revenue by Product,api/reports/revenue-by-product,get,Admin
report,Top Products,Top Products,api/reports/top-products,get,Admin
report,Top Customers,Top Customers,api/reports/top-customers,get,Admin
report,Customer LTV,Customer LTV,api/reports/customer-ltv,get,Admin
report,Abandoned Orders,Abandoned Orders,api/reports/abandoned-orders,get,Admin
report,Inventory Snapshot,Inventory Snapshot,api/reports/inventory-snapshot,get,Admin
report,Inventory Aging,Inventory Aging,api/reports/inventory-aging,get,Admin
report,Stock Valuation,Stock Valuation,api/reports/stock-valuation,get,Admin
report,Low Stock,Low Stock,api/reports/low-stock,get,Admin
report,Out of Stock,Out of Stock,api/reports/out-of-stock,get,Admin
report,Return Rates,Return Rates,api/reports/return-rates,get,Admin
report,Refund Summary,Refund Summary,api/reports/refund-summary,get,Admin
report,Order Fulfillment SLA,Order Fulfillment SLA,api/reports/fulfillment-sla,get,Admin
report,Dispatch Performance,Dispatch Performance,api/reports/dispatch-performance,get,Admin
report,Cycle Count Accuracy,Cycle Count Accuracy,api/reports/cycle-count-accuracy,get,Admin
report,Price Change History,Price Change History,api/reports/price-change-history,get,Admin
report,User Activity,User Activity,api/reports/user-activity,get,Admin
report,Permission Coverage,Permission Coverage,api/reports/permission-coverage,get,Admin
search,Global Search,Search across entities,api/search,get,Employee
search,Advanced Search,Structured search queries,api/search/advanced,post,Admin
import-export,Import Customers,CSV/Excel import,api/customers/import,post,Admin
import-export,Export Customers,Export CSV/Excel,api/customers/export,get,Admin
import-export,Import Inventory,Bulk load inventory,api/inventory/import,post,Admin
import-export,Export Inventory,Export inventory,api/inventory/export,get,Admin
attachment,Upload,Upload file,api/attachments,post,Employee
attachment,Get,Get attachment,api/attachments/{id},get,Employee
attachment,Delete,Delete attachment,api/attachments/{id},delete,Employee
notification,List Templates,Email/SMS templates,api/notifications/templates,get,Admin
notification,Create Template,Create template,api/notifications/templates,post,Admin
notification,Send Test,Send test notification,api/notifications/test,post,Admin
webhook,List Webhooks,Paginated webhooks,api/webhooks,get,Admin
webhook,Create Webhook,Create webhook,api/webhooks,post,Admin
webhook,Get Webhook,Get by id,api/webhooks/{id},get,Admin
webhook,Update Webhook,Update by id,api/webhooks/{id},put,Admin
webhook,Delete Webhook,Delete by id,api/webhooks/{id},delete,Admin
webhook,Retry Webhook,Retry failed delivery,api/webhooks/{id}/retry,post,Admin
webhook,Deliveries,List webhook deliveries,api/webhooks/{id}/deliveries,get,Admin
integration,List Carriers,Available shipping carriers,api/integrations/carriers,get,Admin
integration,Connect Carrier,Connect shipping account,api/integrations/carriers,post,Admin
integration,Disconnect Carrier,Disconnect carrier,api/integrations/carriers/{id},delete,Admin
integration,Rate Shipment,Get shipping rates,api/integrations/carriers/{id}/rates,post,Employee
integration,Create Waybill,Create carrier waybill,api/integrations/carriers/{id}/waybill,post,Employee
integration,Track Waybill,Track shipment via carrier,api/integrations/carriers/{id}/track/{waybill},get,Employee
pricing,Set Price,Set product price at store/batch,api/pricing,post,Admin
pricing,Get Price,Get effective price,api/pricing,get,Employee
pricing,Price Overrides,Store-level overrides,api/pricing/overrides,post,Admin
pricing,Delete Override,Remove override,api/pricing/overrides/{id},delete,Admin
promotion,List Promotions,Paginated promotions,api/promotions,get,Admin
promotion,Create Promotion,Create promotion,api/promotions,post,Admin
promotion,Get Promotion,Get by id,api/promotions/{id},get,Admin
promotion,Update Promotion,Update by id,api/promotions/{id},put,Admin
promotion,Delete Promotion,Delete by id,api/promotions/{id},delete,Admin
promotion,Apply Promotion,Apply promo to order,api/orders/{id}/apply-promo,post,Employee
promotion,Remove Promotion,Remove promo from order,api/orders/{id}/remove-promo,post,Employee
catalog,Rebuild Search Index,Re-index products,api/catalog/reindex,post,Admin
catalog,Suggest Keywords,Autosuggest terms,api/catalog/suggest,get,Employee
monitoring,Health,Service health,api/health,get,None
monitoring,Metrics,Operational metrics,api/metrics,get,Admin
monitoring,Queue Stats,Background queue status,api/queues,get,Admin
order,Generate Invoice,Create/Regenerate invoice PDF,api/orders/{id}/invoice,post,Employee
order,Get Invoice,Download invoice PDF,api/orders/{id}/invoice,get,Employee
order,Apply Tax,Apply tax profile,api/orders/{id}/apply-tax,post,Employee
order,Remove Tax,Remove tax profile,api/orders/{id}/remove-tax,post,Employee
order,Set Payment Method,Set payment method,api/orders/{id}/payment-method,post,Employee
order,Mark Paid,Mark order as paid (offline),api/orders/{id}/mark-paid,post,Employee
order,Packing List,Generate packing list,api/orders/{id}/packing-list,get,Employee
order,Picking List,Generate picking list,api/orders/{id}/picking-list,get,Employee
order,Timeline,Order event timeline,api/orders/{id}/timeline,get,Employee
order,Duplicate Order,Clone order,api/orders/{id}/duplicate,post,Employee
order,Flag Fraud,Flag as suspected fraud,api/orders/{id}/flag-fraud,post,Admin
order,Unflag Fraud,Remove fraud flag,api/orders/{id}/unflag-fraud,post,Admin
dispatch,Manifest,Generate shipment manifest,api/dispatches/{id}/manifest,get,Employee
dispatch,Label,Generate dispatch label,api/dispatches/{id}/label,get,Employee
inventory,FIFO Valuation,FIFO stock valuation,api/inventory/valuation/fifo,get,Admin
inventory,LIFO Valuation,LIFO stock valuation,api/inventory/valuation/lifo,get,Admin
inventory,Avg Cost Valuation,Average cost valuation,api/inventory/valuation/avg,get,Admin
batch,Set Availability,Toggle availability,api/batches/{id}/availability,post,Admin
batch,Audit Ledger,Batch movement ledger,api/batches/{id}/ledger,get,Admin
customer,Blacklist Customer,Blacklist for fraud/abuse,api/customers/{id}/blacklist,post,Admin
customer,Unblacklist Customer,Remove from blacklist,api/customers/{id}/unblacklist,post,Admin
customer,Add Tag,Tag customer,api/customers/{id}/tags,post,Employee
customer,Remove Tag,Remove customer tag,api/customers/{id}/tags/{tag},delete,Employee
product,Add Image,Upload product image,api/products/{id}/images,post,Admin
product,List Images,List product images,api/products/{id}/images,get,Employee
product,Delete Image,Delete product image,api/products/{id}/images/{image_id},delete,Admin
product,Set Primary Image,Set primary display image,api/products/{id}/images/{image_id}/primary,post,Admin
product,Add Barcode,Add barcode to product,api/products/{id}/barcodes,post,Admin
product,List Barcodes,List product barcodes,api/products/{id}/barcodes,get,Employee
product,Delete Barcode,Delete product barcode,api/products/{id}/barcodes/{code},delete,Admin
store,Business Hours,Set business hours,api/stores/{id}/business-hours,post,Admin
store,Holidays,Set store holidays,api/stores/{id}/holidays,post,Admin
store,Sales Targets,Set sales targets,api/stores/{id}/targets,post,Admin
